name,address,lat,lng,comment,website
340,"48.853540, 2.353649",48.853540,2.353649,Paris 4ème (PA_340) https://live.staticflickr.com/4885/44118449710_b38e896512_m.jpg,https://www.flickr.com/photos/24406544@N00/44118449710
342,"48.879077, 2.336961",48.879077,2.336961,Paris 9ème (PA_342) https://live.staticflickr.com/8705/29072213264_73589f8005_m.jpg,https://www.flickr.com/photos/24406544@N00/29072213264
NaN,"48.864192, 2.297011",48.864192,2.297011,Palais de Tokyo [outside] (PA_???) https://live.staticflickr.com/93/219054733_d2cb0bf88b_m.jpg,https://www.flickr.com/photos/24406544@N00/219054733
343,"48.860211, 2.291078",48.860211,2.291078,Paris 16ème (PA_343) https://live.staticflickr.com/7817/47448603392_b9d2848d00_m.jpg,https://www.flickr.com/photos/24406544@N00/47448603392
346,"48.842908, 2.312257",48.842908,2.312257,Rue de Vaugirard (PA_346) https://live.staticflickr.com/58/185722187_9e277c72d7_m.jpg,https://www.flickr.com/photos/24406544@N00/185722187
348,"48.861744, 2.361333",48.861744,2.361333,Paris 3ème (PA_348) https://live.staticflickr.com/2920/33175233023_f5d5d1c71e_m.jpg,https://www.flickr.com/photos/24406544@N00/33175233023
352,"48.877625, 2.358208",48.877625,2.358208,Rue d'Alsace (PA_352) https://live.staticflickr.com/78/205924492_d9a19a0054_m.jpg,https://www.flickr.com/photos/24406544@N00/205924492
353,"48.869458, 2.324819",48.869458,2.324819,Paris 8ème (PA_353) https://live.staticflickr.com/4652/40559164102_b0280811b6_m.jpg,https://www.flickr.com/photos/24406544@N00/40559164102
355,"48.862742, 2.349743",48.862742,2.349743,Rue de la Grande Truanderie (PA_355) https://live.staticflickr.com/89/249903581_e15dfc3782_m.jpg,https://www.flickr.com/photos/24406544@N00/249903581
357,"48.832139, 2.290177",48.832139,2.290177,Boulevard Lefebvre (PA_357) https://live.staticflickr.com/74/194072318_b6e2813946_m.jpg,https://www.flickr.com/photos/24406544@N00/194072318
362,"48.871711, 2.364772",48.871711,2.364772,Paris 10ème (PA_362) https://live.staticflickr.com/823/40974771395_dd41474923_m.jpg,https://www.flickr.com/photos/24406544@N00/40974771395
363,"48.826368, 2.359968",48.826368,2.359968,Avenue de Choisy (PA_363) https://live.staticflickr.com/87/249244416_097841f9ca_m.jpg,https://www.flickr.com/photos/24406544@N00/249244416
364,"48.837082, 2.296282",48.837082,2.296282,Paris 15ème (PA_364) https://live.staticflickr.com/65535/49395831592_8f493b8fde_m.jpg,https://www.flickr.com/photos/24406544@N00/49395831592
366,"48.829896, 2.303577",48.829896,2.303577,Rue Castagnary (PA_366) https://live.staticflickr.com/60/189858520_dbf6735a63_m.jpg,https://www.flickr.com/photos/24406544@N00/189858520
369,"48.853419, 2.385055",48.853419,2.385055,Paris 11ème (PA_369) https://live.staticflickr.com/8417/29468345122_1abae76a01_m.jpg,https://www.flickr.com/photos/24406544@N00/29468345122
370,"48.868165, 2.365322",48.868165,2.365322,Rue du Faubourg du Temple (PA_370) https://live.staticflickr.com/3259/3162827386_681517f04e_m.jpg,https://www.flickr.com/photos/24406544@N00/3162827386
372,"48.852030, 2.373690",48.852030,2.373690,Paris 11ème (PA_372) https://live.staticflickr.com/4831/31353023477_e5f54244ac_m.jpg,https://www.flickr.com/photos/24406544@N00/31353023477
375,"48.870840, 2.395319",48.870840,2.395319,Rue de l'Est (PA_375) https://live.staticflickr.com/29/101008319_4f96027d81_m.jpg,https://www.flickr.com/photos/24406544@N00/101008319
376,"48.861700, 2.362425",48.861700,2.362425,Rue de Poitou (PA_376) https://live.staticflickr.com/65535/50142348687_9b37a5b6ca_m.jpg,https://www.flickr.com/photos/24406544@N00/50142348687
377,"48.863105, 2.370954",48.863105,2.370954,Paris 11ème (PA_377) https://live.staticflickr.com/65535/48531491216_540be53923_m.jpg,https://www.flickr.com/photos/24406544@N00/48531491216
379,"48.858870, 2.357329",48.858870,2.357329,Paris 4ème (PA_379) https://live.staticflickr.com/1976/43815414520_55654feafb_m.jpg,https://www.flickr.com/photos/24406544@N00/43815414520
380,"48.862964, 2.309242",48.862964,2.309242,Paris 7ème (PA_380) https://live.staticflickr.com/4876/46066590702_4c0b2b34b1_m.jpg,https://www.flickr.com/photos/24406544@N00/46066590702
385,"48.831438, 2.368622",48.831438,2.368622,Paris 13ème (PA_385) https://live.staticflickr.com/2806/33941589930_bc1f6d52b3_m.jpg,https://www.flickr.com/photos/24406544@N00/33941589930
390,"48.856054, 2.386296",48.856054,2.386296,Passage Gustave Lepeu (PA_390) https://live.staticflickr.com/48/126948412_ec733de457_m.jpg,https://www.flickr.com/photos/24406544@N00/126948412
392,"48.854561, 2.342419",48.854561,2.342419,Paris 6ème (PA_392) https://live.staticflickr.com/1590/26240077881_7e27809458_m.jpg,https://www.flickr.com/photos/24406544@N00/26240077881
393,"48.842936, 2.366169",48.842936,2.366169,Gare d'Austerlitz (PA_393) https://live.staticflickr.com/114/293617227_994f8d6d6d_m.jpg,https://www.flickr.com/photos/24406544@N00/293617227
400,"48.862180, 2.302268",48.862180,2.302268,Paris 7ème (PA_400) https://live.staticflickr.com/1937/44245289585_3cbd37abb4_m.jpg,https://www.flickr.com/photos/24406544@N00/44245289585
402,"48.862400, 2.320175",48.862400,2.320175,Paris 7ème (PA_402) https://live.staticflickr.com/826/41761961921_98f89cf88a_m.jpg,https://www.flickr.com/photos/24406544@N00/41761961921
403,"48.832040, 2.302944",48.832040,2.302944,Rue Brancion (PA_403) https://live.staticflickr.com/70/189495642_63692e0c2e_m.jpg,https://www.flickr.com/photos/24406544@N00/189495642
415,"48.852877, 2.386350",48.852877,2.386350,Rue Titon (PA_415) https://live.staticflickr.com/93/243002823_f56ae42553_m.jpg,https://www.flickr.com/photos/24406544@N00/243002823
416,"48.871539, 2.363144",48.871539,2.363144,Paris 10ème (PA_416) https://live.staticflickr.com/1970/30615407577_3b86888740_m.jpg,https://www.flickr.com/photos/24406544@N00/30615407577
418,"48.901427, 2.344347",48.901427,2.344347,Saint-Ouen (PA_418) https://live.staticflickr.com/8649/28506379096_8614e85da1_m.jpg,https://www.flickr.com/photos/24406544@N00/28506379096
421,"48.864700, 2.395695",48.864700,2.395695,Rue des Rondeaux (PA_421) https://live.staticflickr.com/82/262695304_ded35daee7_m.jpg,https://www.flickr.com/photos/24406544@N00/262695304
424,"48.864637, 2.295681",48.864637,2.295681,Paris 16ème (PA_424) https://live.staticflickr.com/65535/48393529581_f4e2631b63_m.jpg,https://www.flickr.com/photos/24406544@N00/48393529581
426,"48.816076, 2.356953",48.816076,2.356953,Porte d'Italie (PA_426) https://live.staticflickr.com/1002/1293102651_a0ca89ca18_m.jpg,https://www.flickr.com/photos/24406544@N00/1293102651
430,"48.872103, 2.365171",48.872103,2.365171,Quai de Jemmapes (PA_430) https://live.staticflickr.com/78/204700856_c21768b014_m.jpg,https://www.flickr.com/photos/24406544@N00/204700856
431,"48.847187, 2.414181",48.847187,2.414181,Paris 20ème (PA_431) https://live.staticflickr.com/1927/43459997310_d653d761dd_m.jpg,https://www.flickr.com/photos/24406544@N00/43459997310
432,"48.871151, 2.393292",48.871151,2.393292,Rue de l'Est (PA_432) https://live.staticflickr.com/38/100738518_01c3bbf733_m.jpg,https://www.flickr.com/photos/24406544@N00/100738518
433,"48.843338, 2.402315",48.843338,2.402315,Rue Sibuet (PA_433) https://live.staticflickr.com/159/358192802_5b68c10cae_m.jpg,https://www.flickr.com/photos/24406544@N00/358192802
434,"48.840722, 2.398030",48.840722,2.398030,Paris 12ème (PA_434) https://live.staticflickr.com/5736/30222078631_421f379463_m.jpg,https://www.flickr.com/photos/24406544@N00/30222078631
441,"48.815519, 2.356311",48.815519,2.356311,Paris 13ème (PA_441) https://live.staticflickr.com/4172/33943184750_7d31d61384_m.jpg,https://www.flickr.com/photos/24406544@N00/33943184750
449,"48.871595, 2.314639",48.871595,2.314639,Rue du Fg St-Honoré Galerie Adler (PA_449) https://live.staticflickr.com/109/286632899_9d517e8e05_m.jpg,https://www.flickr.com/photos/24406544@N00/286632899
450,"48.864795, 2.356846",48.864795,2.356846,Rue Volta (PA_450) https://live.staticflickr.com/201/466819566_7d46fa6e17_m.jpg,https://www.flickr.com/photos/24406544@N00/466819566
451,"48.853350, 2.376651",48.853350,2.376651,Pause Café (PA_451) https://live.staticflickr.com/91/237882798_3e631f8cdf_m.jpg,https://www.flickr.com/photos/24406544@N00/237882798
453,"48.864407, 2.389601",48.864407,2.389601,Rue des Amandiers (PA_453) https://live.staticflickr.com/115/268983071_bff214da62_m.jpg,https://www.flickr.com/photos/24406544@N00/268983071
456,"48.864658, 2.294179",48.864658,2.294179,Paris 16ème (PA_456) https://live.staticflickr.com/65535/48673399871_14389264a6_m.jpg,https://www.flickr.com/photos/24406544@N00/48673399871
466,"48.868201, 2.373068",48.868201,2.373068,Rue de la Fontaine au Roi (PA_466) https://live.staticflickr.com/100/254889213_ba1b8aa682_m.jpg,https://www.flickr.com/photos/24406544@N00/254889213
470,"48.864816, 2.345647",48.864816,2.345647,Paris 2ème (PA_470) https://live.staticflickr.com/2843/34104579756_aa7404a4e7_m.jpg,https://www.flickr.com/photos/24406544@N00/34104579756
472,"48.859063, 2.371369",48.859063,2.371369,Boulevard Richard Lenoir (PA_472) https://live.staticflickr.com/3428/3363045855_41c1342522_m.jpg,https://www.flickr.com/photos/24406544@N00/3363045855
475,"48.874675, 2.293311",48.874675,2.293311,Paris 17ème (PA_475) https://live.staticflickr.com/7086/27695701496_afbb3526bd_m.jpg,https://www.flickr.com/photos/24406544@N00/27695701496
480,"48.855877, 2.359893",48.855877,2.359893,Rue du Roi de Sicile (PA_480) https://live.staticflickr.com/65535/50142193702_ee3fb520c3_m.jpg,https://www.flickr.com/photos/24406544@N00/50142193702
481,"48.844885, 2.332513",48.844885,2.332513,Rue d'Assas (PA_481) https://live.staticflickr.com/41/88132228_2f6c3e942f_m.jpg,https://www.flickr.com/photos/24406544@N00/88132228
482,"48.857254, 2.361749",48.857254,2.361749,Rue Pavée (PA_482) https://live.staticflickr.com/117/292161948_d7f7cf5a25_m.jpg,https://www.flickr.com/photos/24406544@N00/292161948
483,"48.863910, 2.352093",48.863910,2.352093,Paris 3ème (PA_483) https://live.staticflickr.com/65535/48735798967_89d887af4e_m.jpg,https://www.flickr.com/photos/24406544@N00/48735798967
489,"48.874178, 2.385556",48.874178,2.385556,Rue Clavel (PA_489) https://live.staticflickr.com/48/179897544_9d7f90613d_m.jpg,https://www.flickr.com/photos/24406544@N00/179897544
490,"48.899649, 2.392036",48.899649,2.392036,Rue de la Chemin de Fer (PA_490) https://live.staticflickr.com/151/430188276_a56d6654fc_m.jpg,https://www.flickr.com/photos/24406544@N00/430188276
492,"48.873950, 2.395288",48.873950,2.395288,Paris 20ème (PA_492) https://live.staticflickr.com/4796/39832072905_9c81a3cdc0_m.jpg,https://www.flickr.com/photos/24406544@N00/39832072905
494,"48.841418, 2.325174",48.841418,2.325174,Place Edgar Quinet (PA_494) https://live.staticflickr.com/53/249471685_935f19c7ba_m.jpg,https://www.flickr.com/photos/24406544@N00/249471685
495,"48.844494, 2.352572",48.844494,2.352572,Paris 5ème (PA_495) https://live.staticflickr.com/5646/30947776296_42b6f3927c_m.jpg,https://www.flickr.com/photos/24406544@N00/30947776296
498,"48.880930, 2.335838",48.880930,2.335838,Paris 9ème (PA_498) https://live.staticflickr.com/4169/34463734615_65351920af_m.jpg,https://www.flickr.com/photos/24406544@N00/34463734615
499,"48.877431, 2.365633",48.877431,2.365633,Quai de Jemmapes (PA_499) https://live.staticflickr.com/65535/47049776504_08bcd5e3df_m.jpg,https://www.flickr.com/photos/24406544@N00/47049776504
501,"48.866401, 2.364603",48.866401,2.364603,Paris 3ème (PA_501) https://live.staticflickr.com/7897/46503572565_4b61ca952c_m.jpg,https://www.flickr.com/photos/24406544@N00/46503572565
503,"48.860944, 2.364686",48.860944,2.364686,Paris 3ème (PA_503) https://live.staticflickr.com/8048/29466737620_904a8c7134_m.jpg,https://www.flickr.com/photos/24406544@N00/29466737620
504,"48.857684, 2.358455",48.857684,2.358455,Rue des Rosiers (PA_504) https://live.staticflickr.com/230/456656262_faa8ab0ad9_m.jpg,https://www.flickr.com/photos/24406544@N00/456656262
506,"48.866900, 2.349250",48.866900,2.349250,Paris 2ème (PA_506) https://live.staticflickr.com/2892/33226850280_6decac8e4f_m.jpg,https://www.flickr.com/photos/24406544@N00/33226850280
516,"48.853851, 2.369999",48.853851,2.369999,Place de la Bastille (PA_516) https://live.staticflickr.com/3615/3394616528_d56d744083_m.jpg,https://www.flickr.com/photos/24406544@N00/3394616528
521,"48.875551, 2.399901",48.875551,2.399901,Rue de Belleville (PA_521) https://live.staticflickr.com/95/260595453_d9eec87e95_m.jpg,https://www.flickr.com/photos/24406544@N00/260595453
522,"48.864083, 2.370780",48.864083,2.370780,Paris 11ème (PA_522) https://live.staticflickr.com/5656/30775996502_87ab395b15_m.jpg,https://www.flickr.com/photos/24406544@N00/30775996502
525,"48.859366, 2.352927",48.859366,2.352927,Rue St-Mérri (PA_525) https://live.staticflickr.com/1317/1481291057_1d45a8e502_m.jpg,https://www.flickr.com/photos/24406544@N00/1481291057
529,"48.849375, 2.351725",48.849375,2.351725,Paris 5ème (PA_529) https://live.staticflickr.com/480/31459411222_37e94c82e9_m.jpg,https://www.flickr.com/photos/24406544@N00/31459411222
530,"48.873606, 2.387981",48.873606,2.387981,Rue de la Mare (PA_530) https://live.staticflickr.com/103/258553136_ab6dd2ddbb_m.jpg,https://www.flickr.com/photos/24406544@N00/258553136
536,"48.839356, 2.388668",48.839356,2.388668,Ruelle de la Planchette (PA_536) https://live.staticflickr.com/128/366811004_24b012d5a9_m.jpg,https://www.flickr.com/photos/24406544@N00/366811004
543,"48.832527, 2.371029",48.832527,2.371029,Rue Duchefdelaville (PA_543) https://live.staticflickr.com/95/244826824_9899ed096c_m.jpg,https://www.flickr.com/photos/24406544@N00/244826824
551,"48.865194, 2.411423",48.865194,2.411423,Porte de Bangolet (PA_551) https://live.staticflickr.com/65535/49536593338_56724206fd_m.jpg,https://www.flickr.com/photos/24406544@N00/49536593338
554,"48.842858, 2.392251",48.842858,2.392251,Rue de Reuilly (PA_554) https://live.staticflickr.com/55/118682586_b3bab212c0_m.jpg,https://www.flickr.com/photos/24406544@N00/118682586
556,"48.851908, 2.349069",48.851908,2.349069,Paris 5ème (PA_556) https://live.staticflickr.com/672/21720671163_4257e83587_m.jpg,https://www.flickr.com/photos/24406544@N00/21720671163
560,"48.868568, 2.273912",48.868568,2.273912,Boulevard Flandrin (PA_560) https://live.staticflickr.com/76/222245656_0f44de7a8b_m.jpg,https://www.flickr.com/photos/24406544@N00/222245656
562,"48.892190, 2.339916",48.892190,2.339916,Rue du Ruisseau (PA_562) https://live.staticflickr.com/55/158508577_df239201a3_m.jpg,https://www.flickr.com/photos/24406544@N00/158508577
564,"48.839900, 2.361972",48.839900,2.361972,Boulevard de l'Hôpital (PA_564) https://live.staticflickr.com/3747/9298196075_9ac45af78f_m.jpg,https://www.flickr.com/photos/24406544@N00/9298196075
566,"48.859879, 2.388238",48.859879,2.388238,Rue de la Roquette (PA_566) https://live.staticflickr.com/51/127396847_ecf8e98117_m.jpg,https://www.flickr.com/photos/24406544@N00/127396847
567,"48.876147, 2.401907",48.876147,2.401907,Rue de Belleville (PA_567) https://live.staticflickr.com/110/260630477_d51cda41ba_m.jpg,https://www.flickr.com/photos/24406544@N00/260630477
571,"48.848207, 2.367950",48.848207,2.367950,Paris 12ème (PA_571) https://live.staticflickr.com/1915/30527749147_33345de272_m.jpg,https://www.flickr.com/photos/24406544@N00/30527749147
573,"48.871151, 2.393292",48.871151,2.393292,Place Guignier (PA_573) https://live.staticflickr.com/19/100738516_f558634adc_m.jpg,https://www.flickr.com/photos/24406544@N00/100738516
577,"48.873225, 2.389891",48.873225,2.389891,Rue Levert (PA_577) https://live.staticflickr.com/37/99629166_c1bdf3d082_m.jpg,https://www.flickr.com/photos/24406544@N00/99629166
581,"48.862385, 2.335163",48.862385,2.335163,Musée du Louvre (PA_581) https://live.staticflickr.com/47/148599837_5732fda27a_m.jpg,https://www.flickr.com/photos/24406544@N00/148599837
587,"48.859894, 2.352586",48.859894,2.352586,Rue du Renard (PA_587) https://live.staticflickr.com/65535/49379462228_66184b28df_m.jpg,https://www.flickr.com/photos/24406544@N00/49379462228
588,"48.852651, 2.363272",48.852651,2.363272,Rue Charles V (PA_588) https://live.staticflickr.com/216/495902888_05dae532e8_m.jpg,https://www.flickr.com/photos/24406544@N00/495902888
591,"48.869132, 2.372918",48.869132,2.372918,Rue Darboy (PA_591) https://live.staticflickr.com/81/254398450_9a1dd589a5_m.jpg,https://www.flickr.com/photos/24406544@N00/254398450
593,"48.836414, 2.278203",48.836414,2.278203,Place Balard (PA_593) https://live.staticflickr.com/65535/50189559561_1f04d1d416_m.jpg,https://www.flickr.com/photos/24406544@N00/50189559561
594,"48.836666, 2.278783",48.836666,2.278783,Paris 15ème (PA_594) https://live.staticflickr.com/8573/28521921132_102574fde2_m.jpg,https://www.flickr.com/photos/24406544@N00/28521921132
600,"48.886617, 2.396875",48.886617,2.396875,Porte Chaumont (PA_600) https://live.staticflickr.com/39/122581467_42c235ee9a_m.jpg,https://www.flickr.com/photos/24406544@N00/122581467
606,"48.867192, 2.344872",48.867192,2.344872,Rue Aboukir (PA_606) https://live.staticflickr.com/110/251200748_e87d7bb150_m.jpg,https://www.flickr.com/photos/24406544@N00/251200748
